order_id,order_line,order_date,customer_id,product_id,bikeshop_id,quantity,model,category1,category2,frame,price,FirstName,LastName,BirthDate,MaritalStatus,Gender,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner,bikeshop_name,bikeshop_city,bikeshop_state,latitude,longitude,ventes
6,2,2011-01-11,16,39,26,1,Slice Hi-Mod Dura Ace D12,Road,Triathalon,Carbon,4500, Laura, Magenta,1988-05-09, Single, Female,39000,0, Bachelor's, Artist, Yes,Miami Race Equipment,Miami,FL,25.76168,-80.19179,4500
6,3,2011-01-11,16,87,8,1,Habit 5,Mountain,Trail,Aluminum,2340, Laura, Magenta,1988-05-09, Single, Female,39000,0, Bachelor's, Artist, Yes,Denver Bike Shop,Denver,CO,39.739236,-104.990251,2340
6,4,2011-01-11,16,31,1,1,Synapse Carbon 105,Road,Endurance Road,Carbon,2240, Laura, Magenta,1988-05-09, Single, Female,39000,0, Bachelor's, Artist, Yes,Pittsburgh Mountain Machines,Pittsburgh,PA,40.440625,-79.995886,2240
7,1,2011-01-12,9,2,7,1,Supersix Evo Hi-Mod Team,Road,Elite Road,Carbon,10660, Eliot, Gray,1994-06-23, Single, Male,35000,0, High School, Salesperson, No,Nashville Cruisers,Nashville,TN,36.162664,-86.781602,10660
7,2,2011-01-12,9,15,8,1,CAAD12 Ultegra,Road,Elite Road,Aluminum,2240, Eliot, Gray,1994-06-23, Single, Male,35000,0, High School, Salesperson, No,Denver Bike Shop,Denver,CO,39.739236,-104.990251,2240
7,3,2011-01-12,9,10,1,1,Supersix Evo Tiagra,Road,Elite Road,Carbon,1840, Eliot, Gray,1994-06-23, Single, Male,35000,0, High School, Salesperson, No,Pittsburgh Mountain Machines,Pittsburgh,PA,40.440625,-79.995886,1840
7,4,2011-01-12,9,65,7,1,Scalpel 29 4,Mountain,Cross Country Race,Aluminum,3200, Eliot, Gray,1994-06-23, Single, Male,35000,0, High School, Salesperson, No,Nashville Cruisers,Nashville,TN,36.162664,-86.781602,3200
7,5,2011-01-12,9,87,22,1,Habit 5,Mountain,Trail,Aluminum,2340, Eliot, Gray,1994-06-23, Single, Male,35000,0, High School, Salesperson, No,Ann Arbor Speed,Ann Arbor,MI,42.280826,-83.743038,2340
7,6,2011-01-12,9,55,2,1,Scalpel-Si Black Inc.,Mountain,Cross Country Race,Carbon,12790, Eliot, Gray,1994-06-23, Single, Male,35000,0, High School, Salesperson, No,Ithaca Mountain Climbers,Ithaca,NY,42.443961,-76.501881,12790
7,7,2011-01-12,9,7,19,1,Supersix Evo Ultegra 3,Road,Elite Road,Carbon,3200, Eliot, Gray,1994-06-23, Single, Male,35000,0, High School, Salesperson, No,San Francisco Cruisers,San Francisco,CA,37.774929,-122.419416,3200
7,8,2011-01-12,9,67,5,1,F-Si Hi-Mod Team,Mountain,Cross Country Race,Carbon,9060, Eliot, Gray,1994-06-23, Single, Male,35000,0, High School, Salesperson, No,Cincinnati Speed,Cincinnati,OH,39.103118,-84.51202,9060
7,9,2011-01-12,9,61,24,1,Scalpel-Si 5,Mountain,Cross Country Race,Aluminum,3200, Eliot, Gray,1994-06-23, Single, Male,35000,0, High School, Salesperson, No,Providence Bi-peds,Providence,RI,41.823989,-71.412834,3200
7,10,2011-01-12,9,18,4,2,CAAD8 105,Road,Elite Road,Aluminum,1410, Eliot, Gray,1994-06-23, Single, Male,35000,0, High School, Salesperson, No,Detroit Cycles,Detroit,MI,42.331427,-83.045754,2820
7,11,2011-01-12,9,96,3,1,Catalyst 3,Mountain,Sport,Aluminum,480, Eliot, Gray,1994-06-23, Single, Male,35000,0, High School, Salesperson, No,Columbus Race Equipment,Columbus,OH,39.961176,-82.998794,480
7,12,2011-01-12,9,42,14,1,Slice 105,Road,Triathalon,Carbon,1950, Eliot, Gray,1994-06-23, Single, Male,35000,0, High School, Salesperson, No,Albuquerque Cycles,Albuquerque,NM,35.085334,-106.605553,1950
7,13,2011-01-12,9,56,20,1,Scalpel-Si Race,Mountain,Cross Country Race,Carbon,9060, Eliot, Gray,1994-06-23, Single, Male,35000,0, High School, Salesperson, No,Portland Bi-peds,Portland,OR,45.523062,-122.676482,9060
7,14,2011-01-12,9,93,8,2,Trail 5,Mountain,Sport,Aluminum,815, Eliot, Gray,1994-06-23, Single, Male,35000,0, High School, Salesperson, No,Denver Bike Shop,Denver,CO,39.739236,-104.990251,1630
8,1,2011-01-12,16,35,9,1,Synapse Disc Tiagra,Road,Endurance Road,Aluminum,1250, Laura, Magenta,1988-05-09, Single, Female,39000,0, Bachelor's, Artist, Yes,Minneapolis Bike Shop,Minneapolis,MN,44.977753,-93.265011,1250
8,2,2011-01-12,16,96,25,3,Catalyst 3,Mountain,Sport,Aluminum,480, Laura, Magenta,1988-05-09, Single, Female,39000,0, Bachelor's, Artist, Yes,New Orleans Velocipedes,New Orleans,LA,29.951066,-90.071532,1440
9,1,2011-01-17,25,29,16,1,Synapse Carbon Ultegra 4,Road,Endurance Road,Carbon,2660, Ulysses, Platinum,1990-04-27, Married, Male,67000,1, Bachelor's, Farmer, No,Phoenix Bi-peds,Phoenix,AZ,33.448377,-112.074037,2660
9,2,2011-01-17,25,13,27,2,CAAD12 Red,Road,Elite Road,Aluminum,3200, Ulysses, Platinum,1990-04-27, Married, Male,67000,1, Bachelor's, Farmer, No,San Antonio Bike Shop,San Antonio,TX,29.424122,-98.493628,6400
9,3,2011-01-17,25,18,10,1,CAAD8 105,Road,Elite Road,Aluminum,1410, Ulysses, Platinum,1990-04-27, Married, Male,67000,1, Bachelor's, Farmer, No,Kansas City 29ers,Kansas City,KS,39.114053,-94.627464,1410
9,4,2011-01-17,25,16,10,1,CAAD12 Disc 105,Road,Elite Road,Aluminum,1950, Ulysses, Platinum,1990-04-27, Married, Male,67000,1, Bachelor's, Farmer, No,Kansas City 29ers,Kansas City,KS,39.114053,-94.627464,1950
9,5,2011-01-17,25,36,5,5,Synapse Sora,Road,Endurance Road,Aluminum,1030, Ulysses, Platinum,1990-04-27, Married, Male,67000,1, Bachelor's, Farmer, No,Cincinnati Speed,Cincinnati,OH,39.103118,-84.51202,5150
10,1,2011-01-17,20,19,19,1,CAAD8 Tiagra,Road,Elite Road,Aluminum,1250, Patricia, Coral,1990-01-22, Single, Female,46000,0, High School, Pharmacist, Yes,San Francisco Cruisers,San Francisco,CA,37.774929,-122.419416,1250
11,1,2011-01-18,19,11,15,1,CAAD12 Black Inc,Road,Elite Road,Aluminum,5860, Oscar, Lime,1989-12-13, Married, Male,58000,3, Bachelor's, Biologist, No,Austin Cruisers,Austin,TX,30.267153,-97.743061,5860
11,2,2011-01-18,19,13,10,2,CAAD12 Red,Road,Elite Road,Aluminum,3200, Oscar, Lime,1989-12-13, Married, Male,58000,3, Bachelor's, Biologist, No,Kansas City 29ers,Kansas City,KS,39.114053,-94.627464,6400
11,3,2011-01-18,19,10,10,1,Supersix Evo Tiagra,Road,Elite Road,Carbon,1840, Oscar, Lime,1989-12-13, Married, Male,58000,3, Bachelor's, Biologist, No,Kansas City 29ers,Kansas City,KS,39.114053,-94.627464,1840
11,4,2011-01-18,19,39,25,1,Slice Hi-Mod Dura Ace D12,Road,Triathalon,Carbon,4500, Oscar, Lime,1989-12-13, Married, Male,58000,3, Bachelor's, Biologist, No,New Orleans Velocipedes,New Orleans,LA,29.951066,-90.071532,4500
11,5,2011-01-18,19,23,1,1,Synapse Hi-Mod Disc Red,Road,Endurance Road,Carbon,7460, Oscar, Lime,1989-12-13, Married, Male,58000,3, Bachelor's, Biologist, No,Pittsburgh Mountain Machines,Pittsburgh,PA,40.440625,-79.995886,7460
11,6,2011-01-18,19,65,28,1,Scalpel 29 4,Mountain,Cross Country Race,Aluminum,3200, Oscar, Lime,1989-12-13, Married, Male,58000,3, Bachelor's, Biologist, No,Wichita Speed,Wichita,KS,37.687176,-97.330053,3200
11,7,2011-01-18,19,43,18,1,SuperX Hi-Mod CX1,Road,Cyclocross,Carbon,3500, Oscar, Lime,1989-12-13, Married, Male,58000,3, Bachelor's, Biologist, No,Los Angeles Cycles,Los Angeles,CA,34.052234,-118.243685,3500
12,1,2011-01-20,6,27,21,2,Synapse Carbon Disc Ultegra,Road,Endurance Road,Carbon,3730, Jane, Blue,1995-04-14, Single, Female,32000,0, Associate's, Student, No,Seattle Race Equipment,Seattle,WA,47.606209,-122.332071,7460
12,2,2011-01-20,6,49,27,1,Jekyll Carbon 3,Mountain,Over Mountain,Carbon,3840, Jane, Blue,1995-04-14, Single, Female,32000,0, Associate's, Student, No,San Antonio Bike Shop,San Antonio,TX,29.424122,-98.493628,3840
12,3,2011-01-20,6,67,24,1,F-Si Hi-Mod Team,Mountain,Cross Country Race,Carbon,9060, Jane, Blue,1995-04-14, Single, Female,32000,0, Associate's, Student, No,Providence Bi-peds,Providence,RI,41.823989,-71.412834,9060
12,4,2011-01-20,6,11,7,1,CAAD12 Black Inc,Road,Elite Road,Aluminum,5860, Jane, Blue,1995-04-14, Single, Female,32000,0, Associate's, Student, No,Nashville Cruisers,Nashville,TN,36.162664,-86.781602,5860
12,5,2011-01-20,6,26,12,1,Synapse Carbon Disc Ultegra D12,Road,Endurance Road,Carbon,4800, Jane, Blue,1995-04-14, Single, Female,32000,0, Associate's, Student, No,Dallas Cycles,Dallas,TX,32.776664,-96.796988,4800
12,6,2011-01-20,6,39,16,1,Slice Hi-Mod Dura Ace D12,Road,Triathalon,Carbon,4500, Jane, Blue,1995-04-14, Single, Female,32000,0, Associate's, Student, No,Phoenix Bi-peds,Phoenix,AZ,33.448377,-112.074037,4500
12,7,2011-01-20,6,28,19,1,Synapse Carbon Ultegra 3,Road,Endurance Road,Carbon,3200, Jane, Blue,1995-04-14, Single, Female,32000,0, Associate's, Student, No,San Francisco Cruisers,San Francisco,CA,37.774929,-122.419416,3200
12,8,2011-01-20,6,32,1,1,Syapse Carbon Tiagra,Road,Endurance Road,Carbon,1840, Jane, Blue,1995-04-14, Single, Female,32000,0, Associate's, Student, No,Pittsburgh Mountain Machines,Pittsburgh,PA,40.440625,-79.995886,1840
12,9,2011-01-20,6,22,16,1,Synapse Hi-Mod Disc Black Inc.,Road,Endurance Road,Carbon,9590, Jane, Blue,1995-04-14, Single, Female,32000,0, Associate's, Student, No,Phoenix Bi-peds,Phoenix,AZ,33.448377,-112.074037,9590
12,10,2011-01-20,6,13,26,1,CAAD12 Red,Road,Elite Road,Aluminum,3200, Jane, Blue,1995-04-14, Single, Female,32000,0, Associate's, Student, No,Miami Race Equipment,Miami,FL,25.76168,-80.19179,3200
12,11,2011-01-20,6,29,12,1,Synapse Carbon Ultegra 4,Road,Endurance Road,Carbon,2660, Jane, Blue,1995-04-14, Single, Female,32000,0, Associate's, Student, No,Dallas Cycles,Dallas,TX,32.776664,-96.796988,2660
12,12,2011-01-20,6,63,5,1,Scalpel 29 Carbon 2,Mountain,Cross Country Race,Carbon,5330, Jane, Blue,1995-04-14, Single, Female,32000,0, Associate's, Student, No,Cincinnati Speed,Cincinnati,OH,39.103118,-84.51202,5330
12,13,2011-01-20,6,31,9,1,Synapse Carbon 105,Road,Endurance Road,Carbon,2240, Jane, Blue,1995-04-14, Single, Female,32000,0, Associate's, Student, No,Minneapolis Bike Shop,Minneapolis,MN,44.977753,-93.265011,2240
12,14,2011-01-20,6,15,4,1,CAAD12 Ultegra,Road,Elite Road,Aluminum,2240, Jane, Blue,1995-04-14, Single, Female,32000,0, Associate's, Student, No,Detroit Cycles,Detroit,MI,42.331427,-83.045754,2240
12,15,2011-01-20,6,40,27,1,Slice Ultegra D12,Road,Triathalon,Carbon,3200, Jane, Blue,1995-04-14, Single, Female,32000,0, Associate's, Student, No,San Antonio Bike Shop,San Antonio,TX,29.424122,-98.493628,3200
12,16,2011-01-20,6,10,23,3,Supersix Evo Tiagra,Road,Elite Road,Carbon,1840, Jane, Blue,1995-04-14, Single, Female,32000,0, Associate's, Student, No,Philadelphia Bike Shop,Philadelphia,PA,39.952584,-75.165222,5520
12,17,2011-01-20,6,37,20,1,Synapse Claris,Road,Endurance Road,Aluminum,870, Jane, Blue,1995-04-14, Single, Female,32000,0, Associate's, Student, No,Portland Bi-peds,Portland,OR,45.523062,-122.676482,870
12,18,2011-01-20,6,8,1,1,Supersix Evo Ultegra 4,Road,Elite Road,Carbon,2660, Jane, Blue,1995-04-14, Single, Female,32000,0, Associate's, Student, No,Pittsburgh Mountain Machines,Pittsburgh,PA,40.440625,-79.995886,2660
12,19,2011-01-20,6,57,11,1,Scalpel-Si Hi-Mod 1,Mountain,Cross Country Race,Carbon,7460, Jane, Blue,1995-04-14, Single, Female,32000,0, Associate's, Student, No,New York Cycles,New York,NY,40.712784,-74.005941,7460
13,1,2011-01-20,7,4,27,1,Supersix Evo Hi-Mod Dura Ace 2,Road,Elite Road,Carbon,5330, Charlie, Black,1982-10-19, Married, Male,75000,2, Master's, Lawyer, Yes,San Antonio Bike Shop,San Antonio,TX,29.424122,-98.493628,5330
13,2,2011-01-20,7,18,24,1,CAAD8 105,Road,Elite Road,Aluminum,1410, Charlie, Black,1982-10-19, Married, Male,75000,2, Master's, Lawyer, Yes,Providence Bi-peds,Providence,RI,41.823989,-71.412834,1410
14,1,2011-01-24,14,87,20,1,Habit 5,Mountain,Trail,Aluminum,2340, Jessica, Peach,1985-03-23, Single, Female,51000,0, High School, Writer, Yes,Portland Bi-peds,Portland,OR,45.523062,-122.676482,2340
14,2,2011-01-24,14,76,25,1,Beast of the East 1,Mountain,Trail,Aluminum,2770, Jessica, Peach,1985-03-23, Single, Female,51000,0, High School, Writer, Yes,New Orleans Velocipedes,New Orleans,LA,29.951066,-90.071532,2770
14,3,2011-01-24,14,69,10,1,F-Si Carbon 2,Mountain,Cross Country Race,Carbon,4800, Jessica, Peach,1985-03-23, Single, Female,51000,0, High School, Writer, Yes,Kansas City 29ers,Kansas City,KS,39.114053,-94.627464,4800
15,1,2011-01-25,13,3,15,1,Supersix Evo Hi-Mod Dura Ace 1,Road,Elite Road,Carbon,7990, Isaac, Olive,1987-08-14, Married, Male,72000,3, Bachelor's, Developer, No,Austin Cruisers,Austin,TX,30.267153,-97.743061,7990
15,2,2011-01-25,13,35,14,1,Synapse Disc Tiagra,Road,Endurance Road,Aluminum,1250, Isaac, Olive,1987-08-14, Married, Male,72000,3, Bachelor's, Developer, No,Albuquerque Cycles,Albuquerque,NM,35.085334,-106.605553,1250
15,3,2011-01-25,13,65,18,3,Scalpel 29 4,Mountain,Cross Country Race,Aluminum,3200, Isaac, Olive,1987-08-14, Married, Male,72000,3, Bachelor's, Developer, No,Los Angeles Cycles,Los Angeles,CA,34.052234,-118.243685,9600
15,4,2011-01-25,13,5,24,1,Supersix Evo Hi-Mod Utegra,Road,Elite Road,Carbon,4260, Isaac, Olive,1987-08-14, Married, Male,72000,3, Bachelor's, Developer, No,Providence Bi-peds,Providence,RI,41.823989,-71.412834,4260
15,5,2011-01-25,13,19,17,1,CAAD8 Tiagra,Road,Elite Road,Aluminum,1250, Isaac, Olive,1987-08-14, Married, Male,72000,3, Bachelor's, Developer, No,Las Vegas Cycles,Las Vegas,NV,36.169941,-115.13983,1250
15,6,2011-01-25,13,84,23,2,Habit Carbon SE,Mountain,Trail,Carbon,4480, Isaac, Olive,1987-08-14, Married, Male,72000,3, Bachelor's, Developer, No,Philadelphia Bike Shop,Philadelphia,PA,39.952584,-75.165222,8960
15,7,2011-01-25,13,90,15,1,Trail 2,Mountain,Sport,Aluminum,1350, Isaac, Olive,1987-08-14, Married, Male,72000,3, Bachelor's, Developer, No,Austin Cruisers,Austin,TX,30.267153,-97.743061,1350
15,8,2011-01-25,13,16,21,1,CAAD12 Disc 105,Road,Elite Road,Aluminum,1950, Isaac, Olive,1987-08-14, Married, Male,72000,3, Bachelor's, Developer, No,Seattle Race Equipment,Seattle,WA,47.606209,-122.332071,1950
15,9,2011-01-25,13,1,12,1,Supersix Evo Black Inc.,Road,Elite Road,Carbon,12790, Isaac, Olive,1987-08-14, Married, Male,72000,3, Bachelor's, Developer, No,Dallas Cycles,Dallas,TX,32.776664,-96.796988,12790
15,10,2011-01-25,13,88,17,1,Habit 6,Mountain,Trail,Aluminum,1950, Isaac, Olive,1987-08-14, Married, Male,72000,3, Bachelor's, Developer, No,Las Vegas Cycles,Las Vegas,NV,36.169941,-115.13983,1950
15,11,2011-01-25,13,44,4,1,SuperX Ultegra,Road,Cyclocross,Carbon,2450, Isaac, Olive,1987-08-14, Married, Male,72000,3, Bachelor's, Developer, No,Detroit Cycles,Detroit,MI,42.331427,-83.045754,2450
15,12,2011-01-25,13,22,14,2,Synapse Hi-Mod Disc Black Inc.,Road,Endurance Road,Carbon,9590, Isaac, Olive,1987-08-14, Married, Male,72000,3, Bachelor's, Developer, No,Albuquerque Cycles,Albuquerque,NM,35.085334,-106.605553,19180
16,1,2011-01-25,9,73,4,4,F-Si 3,Mountain,Cross Country Race,Aluminum,1840, Eliot, Gray,1994-06-23, Single, Male,35000,0, High School, Salesperson, No,Detroit Cycles,Detroit,MI,42.331427,-83.045754,7360
16,2,2011-01-25,9,91,25,1,Trail 3,Mountain,Sport,Aluminum,1080, Eliot, Gray,1994-06-23, Single, Male,35000,0, High School, Salesperson, No,New Orleans Velocipedes,New Orleans,LA,29.951066,-90.071532,1080
16,3,2011-01-25,9,95,13,1,Catalyst 2,Mountain,Sport,Aluminum,585, Eliot, Gray,1994-06-23, Single, Male,35000,0, High School, Salesperson, No,Oklahoma City Race Equipment,Oklahoma City,OK,35.46756,-97.516428,585
16,4,2011-01-25,9,94,27,1,Catalyst 1,Mountain,Sport,Aluminum,705, Eliot, Gray,1994-06-23, Single, Male,35000,0, High School, Salesperson, No,San Antonio Bike Shop,San Antonio,TX,29.424122,-98.493628,705
16,5,2011-01-25,9,3,28,1,Supersix Evo Hi-Mod Dura Ace 1,Road,Elite Road,Carbon,7990, Eliot, Gray,1994-06-23, Single, Male,35000,0, High School, Salesperson, No,Wichita Speed,Wichita,KS,37.687176,-97.330053,7990
16,6,2011-01-25,9,72,26,1,F-Si 2,Mountain,Cross Country Race,Aluminum,2060, Eliot, Gray,1994-06-23, Single, Male,35000,0, High School, Salesperson, No,Miami Race Equipment,Miami,FL,25.76168,-80.19179,2060
16,7,2011-01-25,9,65,8,1,Scalpel 29 4,Mountain,Cross Country Race,Aluminum,3200, Eliot, Gray,1994-06-23, Single, Male,35000,0, High School, Salesperson, No,Denver Bike Shop,Denver,CO,39.739236,-104.990251,3200
16,8,2011-01-25,9,49,20,2,Jekyll Carbon 3,Mountain,Over Mountain,Carbon,3840, Eliot, Gray,1994-06-23, Single, Male,35000,0, High School, Salesperson, No,Portland Bi-peds,Portland,OR,45.523062,-122.676482,7680
17,1,2011-01-26,5,38,13,1,Slice Hi-Mod Black Inc.,Road,Triathalon,Carbon,7000, Frank, Green,1987-03-30, Married, Male,70000,3, High School, Mechanic, Yes,Oklahoma City Race Equipment,Oklahoma City,OK,35.46756,-97.516428,7000
18,1,2011-01-28,8,21,20,1,CAAD8 Claris,Road,Elite Road,Aluminum,815, Donna, Red,1980-08-05, Married, Female,68000,3, Bachelor's, Manager, Yes,Portland Bi-peds,Portland,OR,45.523062,-122.676482,815
18,2,2011-01-28,8,64,10,1,Scalpel 29 Carbon 3,Mountain,Cross Country Race,Carbon,4260, Donna, Red,1980-08-05, Married, Female,68000,3, Bachelor's, Manager, Yes,Kansas City 29ers,Kansas City,KS,39.114053,-94.627464,4260
19,1,2011-01-28,2,66,27,2,F-Si Black Inc.,Mountain,Cross Country Race,Carbon,11190, Alice, Smith,1988-12-02, Married, Female,60000,2, Master's, Doctor, No,San Antonio Bike Shop,San Antonio,TX,29.424122,-98.493628,22380
19,2,2011-01-28,2,61,25,1,Scalpel-Si 5,Mountain,Cross Country Race,Aluminum,3200, Alice, Smith,1988-12-02, Married, Female,60000,2, Master's, Doctor, No,New Orleans Velocipedes,New Orleans,LA,29.951066,-90.071532,3200
20,1,2011-01-28,10,9,2,1,Supersix Evo 105,Road,Elite Road,Carbon,2240, Fiona, Teal,1989-09-12, Single, Female,46000,1, Associate's, Engineer, Yes,Ithaca Mountain Climbers,Ithaca,NY,42.443961,-76.501881,2240
20,2,2011-01-28,10,14,7,1,CAAD Disc Ultegra,Road,Elite Road,Aluminum,2660, Fiona, Teal,1989-09-12, Single, Female,46000,1, Associate's, Engineer, Yes,Nashville Cruisers,Nashville,TN,36.162664,-86.781602,2660
20,3,2011-01-28,10,50,25,1,Jekyll Carbon 4,Mountain,Over Mountain,Carbon,3200, Fiona, Teal,1989-09-12, Single, Female,46000,1, Associate's, Engineer, Yes,New Orleans Velocipedes,New Orleans,LA,29.951066,-90.071532,3200
20,4,2011-01-28,10,85,27,1,Habit Carbon 3,Mountain,Trail,Carbon,3730, Fiona, Teal,1989-09-12, Single, Female,46000,1, Associate's, Engineer, Yes,San Antonio Bike Shop,San Antonio,TX,29.424122,-98.493628,3730
20,5,2011-01-28,10,16,18,1,CAAD12 Disc 105,Road,Elite Road,Aluminum,1950, Fiona, Teal,1989-09-12, Single, Female,46000,1, Associate's, Engineer, Yes,Los Angeles Cycles,Los Angeles,CA,34.052234,-118.243685,1950
20,6,2011-01-28,10,27,23,1,Synapse Carbon Disc Ultegra,Road,Endurance Road,Carbon,3730, Fiona, Teal,1989-09-12, Single, Female,46000,1, Associate's, Engineer, Yes,Philadelphia Bike Shop,Philadelphia,PA,39.952584,-75.165222,3730
20,7,2011-01-28,10,79,24,1,Bad Habit 1,Mountain,Trail,Aluminum,3200, Fiona, Teal,1989-09-12, Single, Female,46000,1, Associate's, Engineer, Yes,Providence Bi-peds,Providence,RI,41.823989,-71.412834,3200
20,8,2011-01-28,10,78,27,1,Beast of the East 3,Mountain,Trail,Aluminum,1620, Fiona, Teal,1989-09-12, Single, Female,46000,1, Associate's, Engineer, Yes,San Antonio Bike Shop,San Antonio,TX,29.424122,-98.493628,1620
20,9,2011-01-28,10,77,25,1,Beast of the East 2,Mountain,Trail,Aluminum,2130, Fiona, Teal,1989-09-12, Single, Female,46000,1, Associate's, Engineer, Yes,New Orleans Velocipedes,New Orleans,LA,29.951066,-90.071532,2130
21,1,2011-02-01,17,51,14,1,Trigger Carbon 1,Mountain,Over Mountain,Carbon,8200, Mike, Yellow,1986-07-18, Married, Male,61000,2, Master's, Musician, No,Albuquerque Cycles,Albuquerque,NM,35.085334,-106.605553,8200
21,2,2011-02-01,17,3,12,4,Supersix Evo Hi-Mod Dura Ace 1,Road,Elite Road,Carbon,7990, Mike, Yellow,1986-07-18, Married, Male,61000,2, Master's, Musician, No,Dallas Cycles,Dallas,TX,32.776664,-96.796988,31960
21,3,2011-02-01,17,61,10,1,Scalpel-Si 5,Mountain,Cross Country Race,Aluminum,3200, Mike, Yellow,1986-07-18, Married, Male,61000,2, Master's, Musician, No,Kansas City 29ers,Kansas City,KS,39.114053,-94.627464,3200
21,4,2011-02-01,17,26,26,1,Synapse Carbon Disc Ultegra D12,Road,Endurance Road,Carbon,4800, Mike, Yellow,1986-07-18, Married, Male,61000,2, Master's, Musician, No,Miami Race Equipment,Miami,FL,25.76168,-80.19179,4800
21,5,2011-02-01,17,65,19,1,Scalpel 29 4,Mountain,Cross Country Race,Aluminum,3200, Mike, Yellow,1986-07-18, Married, Male,61000,2, Master's, Musician, No,San Francisco Cruisers,San Francisco,CA,37.774929,-122.419416,3200
22,1,2011-02-01,21,33,1,2,Synapse Disc Adventure,Road,Endurance Road,Aluminum,2130, Quentin, Maroon,1983-02-28, Married, Male,64000,2, Associate's, Dentist, No,Pittsburgh Mountain Machines,Pittsburgh,PA,40.440625,-79.995886,4260
